 TIME                    	Pump1flow                	PumpDeaLPflow            	PumpDeaHPflow            	
  +1.3325000000000000E+02	  +3.7972331214626101E+04	  +8.7538992857680933E+04	  +1.0330249094563450E+05	
  +1.3337500000000000E+02	  +3.7936426391082379E+04	  +8.7547775656789439E+04	  +1.0328698619845018E+05	
  +1.3350000000000000E+02	  +3.7911748706270228E+04	  +8.7542636675880436E+04	  +1.0327816987318645E+05	
  +1.3362500000000000E+02	  +3.7848698405965297E+04	  +8.7533326312433521E+04	  +1.0326218645648120E+05	
  +1.3375000000000000E+02	  +3.7848698405965297E+04	  +8.7466923086235387E+04	  +1.0327940710793680E+05	
  +1.3387500000000000E+02	  +3.7861940609613106E+04	  +8.7464766487312809E+04	  +1.0327214922898903E+05	
  +1.3400000000000000E+02	  +3.7859904455120210E+04	  +8.7484682049467461E+04	  +1.0325781156552034E+05	
  +1.3412500000000000E+02	  +3.7319537931028652E+04	  +8.7367610763047967E+04	  +1.0325255810987524E+05	
  +1.3425000000000000E+02	  +3.6333579685974189E+04	  +8.7482467516096454E+04	  +1.0329573600223642E+05	
  +1.3437500000000000E+02	  +3.5296923082661116E+04	  +8.7470276692350468E+04	  +1.0335659839796697E+05	
  +1.3450000000000000E+02	  +3.4264070152471126E+04	  +8.7465258731161812E+04	  +1.0339911587437490E+05	
  +1.3462500000000000E+02	  +3.3663022916210852E+04	  +8.7279320546903808E+04	  +1.0340104711145199E+05	
  +1.3475000000000000E+02	  +3.3747186402711988E+04	  +8.7497697253390812E+04	  +1.0342598084463397E+05	
  +1.3487500000000000E+02	  +3.3747186402711988E+04	  +8.7456987338088555E+04	  +1.0340187521888506E+05	
  +1.3500000000000000E+02	  +3.3719005797302409E+04	  +8.7457673599818096E+04	  +1.0340821581813351E+05	
  +1.3512500000000000E+02	  +3.3658418218932282E+04	  +8.7504743962817738E+04	  +1.0343145374948758E+05	
  +1.3525000000000000E+02	  +3.3578879212202242E+04	  +8.7601715006097977E+04	  +1.0343203033937066E+05	
  +1.3537500000000000E+02	  +3.3433780620006779E+04	  +8.7498549786966949E+04	  +1.0339637660055794E+05	
  +1.3550000000000000E+02	  +3.3255154921436559E+04	  +8.7544922339225013E+04	  +1.0338483253393839E+05	
  +1.3562500000000000E+02	  +3.3218031816751223E+04	  +8.7544666189543786E+04	  +1.0339031896742052E+05	
  +1.3575000000000000E+02	  +3.3218031816751223E+04	  +8.7498917412633047E+04	  +1.0336025837539072E+05	
  +1.3587500000000000E+02	  +3.3209228493904411E+04	  +8.7494469700919261E+04	  +1.0335826484870957E+05	
  +1.3600000000000000E+02	  +3.3225426646764827E+04	  +8.7492693856223312E+04	  +1.0336167222473671E+05	
  +1.3612500000000000E+02	  +3.3914704776605955E+04	  +8.7545850834057055E+04	  +1.0335329339523418E+05	
